UA: UAC: CALLING 6318273880@inphonex.com

13:57:40.000 Sun 19 Mar 2006, 208.239.76.170:5060/udp (560 bytes): INVITE sip:6318273880@inphonex.com SIP/2.0, sent


13:57:40.015 Sun 19 Mar 2006, 208.239.76.170:5060/udp (371 bytes): CANCEL sip:6318273880@inphonex.com SIP/2.0, sent


13:57:40.031 Sun 19 Mar 2006, 208.239.76.170:5060/udp (256 bytes): SIP/2.0 100 Trying, received


13:57:40.046 Sun 19 Mar 2006, 208.239.76.170:5060/udp (252 bytes): SIP/2.0 200 OK, received


13:57:40.062 Sun 19 Mar 2006, 208.239.76.170:5060/udp (507 bytes): SIP/2.0 407 Proxy Authentication Required, received


13:57:40.078 Sun 19 Mar 2006, 208.239.76.170:5060/udp (728 bytes): INVITE sip:6318273880@inphonex.com SIP/2.0, sent


13:57:40.093 Sun 19 Mar 2006, 208.239.76.170:5060/udp (337 bytes): ACK sip:6318273880@inphonex.com SIP/2.0, sent


13:57:40.109 Sun 19 Mar 2006, 208.239.76.170:5060/udp (256 bytes): SIP/2.0 100 Trying, received


13:57:40.593 Sun 19 Mar 2006, 208.239.76.170:5060/udp (728 bytes): INVITE sip:6318273880@inphonex.com SIP/2.0, sent


13:57:40.640 Sun 19 Mar 2006, 208.239.76.170:5060/udp (256 bytes): SIP/2.0 100 Trying, received

